[2017-08-08T14:47:22+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-08-08T14:50:23+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-08-08T14:54:45+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-08-08T15:23:36+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-08-08T18:05:34+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-08-08T18:05:34+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-08-08T21:59:17+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-08-08T21:59:17+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-08-08T22:28:01+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-08-08T22:28:01+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-08-09T08:56:38+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-08-09T08:56:38+0100] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: f6492da9eb; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
